time,unprocessed_text,processed_text,uri_post,username,label,score
Sun Jun 09 06:45:47 +0000 2024,LINK GRUP MITRA MSIB 7 (UNOFFICIAL) Gw dapat dari sumber tiktok https://t.co/y1MSBJsf8t tags msib 7 mitra magang paragon internship mbkm kampus merdeka kuliah robby purba kiky tapera,link grup mitra msib 7 unofficial gw sumber tiktok httpstcoy1msbjsf8t tags msib 7 mitra magang paragon internship mbkm kampus merdeka kuliah robby purba kiky tapera,https://x.com/spartlaxzx/status/1799694361321787869,spartlaxzx,NEUTRAL,0.9993579983711243
Sun Jun 09 06:41:53 +0000 2024,Ada bentuk kegiatan selain organisasi kalau mau dicoba tapi seleksinya cukup sulit seperti ini - Mahasiwa Berprestasi - PKM - PMM - Duta - MSIB KM Wirausaha merdeka - Bangkit - Magang - Beasiswa - IISMA,bentuk giat organisasi coba seleksi sulit mahasiwa prestasi pkm pmm duta msib km wirausaha merdeka bangkit magang beasiswa iisma,https://x.com/chocostudy_/status/1799693381070905622,chocostudy_,NEUTRAL,0.9996471405029297
Sun Jun 09 06:22:58 +0000 2024,Ya Allah izinkan hamba lolos msib magang di top company ya Allah aamiin wkwkk,ya allah izin hamba lolos msib magang top company ya allah aamiin wkwkk,https://x.com/KhrnMta/status/1799688620066107501,KhrnMta,NEUTRAL,0.9938437938690186
Sun Jun 09 06:18:54 +0000 2024,Bismillah semoga dapet yg terbaik di magang msib ini. Aamiin,bismillah moga dapet yg baik magang msib aamiin,https://x.com/justmas2biasa/status/1799687595741569230,justmas2biasa,POSITIVE,0.998798131942749
Sun Jun 09 06:15:45 +0000 2024, : doakan aku mau daftar magang msib : KKN wae durung ditandangi wes meh daftar liyane meneh mbok yo siji2 to nduk meanwhile aku di smt ini berasa nganggur bgt,doa daftar magang msib kkn wae durung tandang wes meh daftar liyane teh mbok yo siji2 to nduk meanwhile smt asa nganggur bgt,https://x.com/asweetchaoss/status/1799686806373597291,asweetchaoss,NEGATIVE,0.9993003606796265
Sun Jun 09 06:12:43 +0000 2024,@mariwpossa PENGEN LOLOS MSIB COK ASLI SIAPAPUN TERIMA AKU TERSERAH DIMANA YANG PENTING MAGANG!!!!!! AKU BISA KERJA KOK ASLI TAHAN BANTING DI KASIH TUGAS JUGA BISA WRITING JUGA BISA KOK APA LAGI? CAPCUT? BISA CANVA? BISA KALI APA LAGI SEMUA AKU BISA MINUS CUMAN MODAL TUJ HIDUP INI MKS.,mariwpossa ken lolos msib cok asli terima serah mana magang kerja asli tahan banting kasih tugas writing capcut canva kali minus cuman modal tuj hidup mks,https://x.com/XxxMobbin7629/status/1799686042561454550,XxxMobbin7629,NEUTRAL,0.9961811304092407
Sun Jun 09 05:17:00 +0000 2024,Keterima magang msib,terima magang msib,https://x.com/bongshikiedust/status/1799672020575371679,bongshikiedust,POSITIVE,0.9996364116668701
Sun Jun 09 03:41:29 +0000 2024,ikut opfol rentfess kayak seleksi magang MSIB,opfol rentfess kayak seleksi magang msib,https://x.com/amouraisy/status/1799647980762624300,amouraisy,NEGATIVE,0.9993546605110168
Sun Jun 09 03:03:54 +0000 2024,@putcyohetinmain @ambalruonx hai izin tanya berarti magang msib dan stupen emang bisa di mix ya diantara 22 apply itu?,putcyohetinmain ambalruonx hai izin magang msib stupen emang mix ya 22 apply,https://x.com/butefla/status/1799638524502958462,butefla,NEUTRAL,0.999680757522583
Sun Jun 09 02:23:27 +0000 2024,Gila semester 4 emang rasa-rasanya semster paling hectic ada tugbes pbl msib apply magang. Sampe gak sempet nulis au,gila semester 4 emang rasarasanya semster hectic tugbes pbl msib apply magang sampe gak sempet nulis au,https://x.com/Aiyemhooman/status/1799628344620896703,Aiyemhooman,NEGATIVE,0.6284048557281494
Sun Jun 09 01:58:03 +0000 2024,pengen diterima magang msib ya Allah ,ken terima magang msib ya allah,https://x.com/styyeyo/status/1799621951654391904,styyeyo,NEUTRAL,0.9995325803756714
Sun Jun 09 01:55:59 +0000 2024,2024 saya ingin: - bahagiain ortu - keterima magang msib batch 7 - nilai ip bagus - keluarga dikasi kesehatan &amp; rezeki lancar (sampe tahun2 yg akan datang jg hehehe),2024 bahagiain ortu terima magang msib batch 7 nilai ip bagus keluarga kasi sehat amp rezeki lancar sampe tahun2 yg jg hehehe,https://x.com/prettyyayy/status/1799621431128711377,prettyyayy,POSITIVE,0.9714975357055664
