"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1799452817280868745","Sat Jun 08 14:45:58 +0000 2024","0","temen ku asli linjur kuliah jurusan bisnis digital tapi daftar magang msib bagian hukum sama psikologi ","1799452817280868745","","","in","@shijnoa / @chivnatsu ☆ ","0","0","0","https://x.com/wonuppi/status/1799452817280868745","1476800596703281155","wonuppi"
"1799445882745811113","Sat Jun 08 14:18:25 +0000 2024","1","bangga dikit soalnya hari ini udah angsur laporan akhir msib laporan magang ke kampus plus flowchart walaupun baru dikit WKWKWKWKW","1799445882745811113","","","in","she/her. not so fan account","0","0","0","https://x.com/chenlecentrics/status/1799445882745811113","1247795336371793921","chenlecentrics"
"1799445136562335998","Sat Jun 08 14:15:27 +0000 2024","0","sedih mulu tiba tiba keterima magang msib astra inimah litereli nangis mulu kepikiran","1799445136562335998","","","in","♡♡𝒎𝒚 𝒆𝒗𝒆𝒓𝒚𝒕𝒊𝒏𝒈💜💚","0","0","0","https://x.com/mychuulatte/status/1799445136562335998","831426877889798144","mychuulatte"
"1799435125484351976","Sat Jun 08 13:35:40 +0000 2024","0","ada yg batch kmrin lolos msib? rep donggg #msib #magang","1799435125484351976","","","in","","0","0","0","https://x.com/tar0mlk_/status/1799435125484351976","1488118745297915905","tar0mlk_"
"1799431643884859784","Sat Jun 08 13:21:50 +0000 2024","2","Udahlah gua udah muak sama msib msib ini. Kalo pun gak bisa juga insha allah magang mandiri bakalan keterima","1799431643884859784","","","in","","0","2","0","https://x.com/aqilzaidan20/status/1799431643884859784","1103515431715762178","aqilzaidan20"
"1799418562500812859","Sat Jun 08 12:29:51 +0000 2024","0","Mksdnya apa ya bjir?? Abang ane ngehe bngt loh.. btw iya nih info magang dong guys selain msib buat backup https://t.co/psMtN3mdZ9","1799418562500812859","https://pbs.twimg.com/media/GPjRpOjbUAALcGA.jpg","","in"," world","0","0","0","https://x.com/starxxyou/status/1799418562500812859","1377805727566159875","starxxyou"
"1798930642555851123","Sat Jun 08 11:57:53 +0000 2024","0","@linchievz Semoga kakak diterima magang msib batch 7 yaa terima kasih banyak kakak &amp; sehat selalu ","1799410516617838848","","linchievz","in","","0","0","0","https://x.com/studyneii/status/1799410516617838848","1557930148196139008","studyneii"
"1799403989186048063","Sat Jun 08 11:31:56 +0000 2024","0","bisa ga Tuhan kado ultah juli ketrima magang msib *","1799403989186048063","","","in","in ur dream","0","0","0","https://x.com/blueemoonds/status/1799403989186048063","1375277262640046087","blueemoonds"
"1799398135435030618","Sat Jun 08 11:08:41 +0000 2024","0","Haii #BrayatAgung LLDIKTI6! Yuk bergabung di Magang MSIB Batch 7 LLDIKTI6! Pastikan kamu cek detail dan prosesnya disini: https://t.co/1u1hkE5fIc atau kunjungi akun IG resmi @magangmerdeka #merdekabelajar #kampusmerdeka #MBKM2024 https://t.co/q4mIHoOfI8","1799398135435030618","","","in","Jl. Pawiyatan Luhur I/1 Bendan","0","0","0","https://x.com/lldikti6/status/1799398135435030618","1106431380479569920","lldikti6"
"1799397597586874393","Sat Jun 08 11:06:33 +0000 2024","0","Klo gw keterima msib gw potong rambut sebahu. Susah bgt ya Allah cari magang","1799397597586874393","","","in","","0","0","0","https://x.com/MarthaDest52795/status/1799397597586874393","1676260946719944704","MarthaDest52795"
"1799385933139283994","Sat Jun 08 10:54:39 +0000 2024","0","@dohoonemo Tdinya mau ngambil msib jg aku... tpi mendingan aku ngambil jalan biasa aja soalnya klo misalnya msib ga dpt setidaknya bisa magang biasa tpi ternyata ga sempet timelinenya jdi aku pilih biasa aja....","1799394604040823118","","dohoonemo","in","Yu line","0","0","0","https://x.com/7secwithu/status/1799394604040823118","1745135809492365314","7secwithu"
"1799394395537789227","Sat Jun 08 10:53:49 +0000 2024","0","bener lagi.. daftar magang msib batch 7 yg penting apply aja dah kek udah pasrah","1799394395537789227","","","in","","0","0","0","https://x.com/shntarynt/status/1799394395537789227","1281578257423327232","shntarynt"
"1799392207520321717","Sat Jun 08 10:45:08 +0000 2024","0","YA ALLAH SEMOGA AKU KETERIMA MAGANG MSIB YA ALLAH AAMIIN YA ALLAH","1799392207520321717","","","in","","0","0","0","https://x.com/lemmekn0ww/status/1799392207520321717","1257704974064037888","lemmekn0ww"
"1799392138767258066","Sat Jun 08 10:44:51 +0000 2024","0","DOAIN GUA KETERIMA MAGANG MSIB DI JKT PLS!!!","1799392138767258066","","","in","","0","0","0","https://x.com/lemmekn0ww/status/1799392138767258066","1257704974064037888","lemmekn0ww"
"1799385933139283994","Sat Jun 08 10:37:14 +0000 2024","0","@dohoonemo Ohh aku magang biasa... Ga bgambil msib","1799390221097967963","","dohoonemo","in","Yu line","0","1","0","https://x.com/7secwithu/status/1799390221097967963","1745135809492365314","7secwithu"
"1799378958078931021","Sat Jun 08 09:52:29 +0000 2024","0","doain ak lulus magang msib yaaa","1799378958078931021","","","in","","0","22","0","https://x.com/wldnrhm/status/1799378958078931021","1679526510284410882","wldnrhm"
"1799365751805284534","Sat Jun 08 09:00:00 +0000 2024","0","Toyota-Astra Motor membuka lowongan magang MSIB untuk periode 6 Agustus - 20 Desember 2024! Yuk simak syarat dan ketentuanya di https://t.co/TNGxBnxigZ serta daftarkan dirimu sekarang juga! #ToyotaAstraMotor #kampusmerdeka #MSIB #astrakampusmerdeka #msibbatch7 https://t.co/AxNYp59nXI","1799365751805284534","https://pbs.twimg.com/media/GPSfu3FacAE8ML0.png","","in","Kota Yogyakarta, Yogyakarta","0","0","0","https://x.com/ecccoid/status/1799365751805284534","156121357","ecccoid"
"1799354280165662792","Sat Jun 08 08:14:25 +0000 2024","3","oi kata ak mah yang jurusan teknik terutama sipil daftar msib ambil jasa marga dah serius. kantor tempat ak magang jg lagi butuh banget soalny ges mayan","1799354280165662792","","","in","Central Java, Indonesia","0","3","0","https://x.com/royalsjelly/status/1799354280165662792","934304620981006341","royalsjelly"
"1799330813118705731","Sat Jun 08 06:41:10 +0000 2024","0","abis melakukan adegan dewasa (apply 22 magang MSIB)","1799330813118705731","","","in","","0","0","0","https://x.com/ayamgeprek19_/status/1799330813118705731","1477798714190098432","ayamgeprek19_"
"1799315402369147312","Sat Jun 08 05:39:58 +0000 2024","0","sekarang kalo kya gini aku harus cari magang mandiri berarti. tapi itu pun amun di acc prodi dan diterima perusahaan. khs sialan. isinya byk kd lulus. sangkal dan sedihhh bnr perasaanku. sampai hdk ku gembor biar kawa sempro bujuran sebelum keberangkatan msib nih","1799315410455847220","","sukacargo","in","Banda Neira","0","1","0","https://x.com/sukacargo/status/1799315410455847220","983366230613491712","sukacargo"
